SiteSource	ItemID	ManufacturerID	ManufacturerCode	ManufacturerName	ProductID	ProductName	ProductDescription	ManufacturerItemCode	ItemDescription	ImageFileName	ItemImageURL	NDCItemCode	PKG	UnitPrice	QuantityOnHand	PriceDescription	Availability	PrimaryCategoryID	PrimaryCategoryName	SecondaryCategoryID	SecondaryCategoryName	CategoryID	CategoryName	IsRX	IsTBD
AIM	11111111	563	10000701	BSN Medical/Jobst	22222222	BSN MEDICAL JOBST� ULTRASHEER COMPRESSION STOCKINGS	Seamless circular knitted for a soft, silky look and comfortable feel. Reciprocated heel and toe for better fit and durability. Maternity styles provide a little "extra" for the mother-to-be. Assorted colors. Available in knee high, thigh high and pantyhose styles.	121529	Compression Stocking, Waist High, 20-30 mmHG, Closed Toe, Suntan, Small			BSN 121529	pr	76.7900	0		14-21 Days	12	Orthopedic & Physical Therapy	115	Soft Goods	742	Compression	N	N
AIM	10289480	563	10000701	BSN Medical/Jobst	10033525	BSN MEDICAL JOBST� ULTRASHEER COMPRESSION STOCKINGS	Seamless circular knitted for a soft, silky look and comfortable feel. Reciprocated heel and toe for better fit and durability. Maternity styles provide a little "extra" for the mother-to-be. Assorted colors. Available in knee high, thigh high and pantyhose styles.	121529	Compression Stocking, Waist High, 20-30 mmHG, Closed Toe, Suntan, Small			BSN 121529	pr	76.7900	0		14-21 Days	12	Orthopedic & Physical Therapy	115	Soft Goods	742	Compression	N	N
AIM	10373034	1115	10001324	Mindray	10041886	MINDRAY ACCESSORIES & MISCELLANEUOUS		0010-20-42594	DPM SpO2 Cable, 6 Pin, Reusable (DROP SHIP ONLY) (Pricing Subject to Change without Notice)			MIR 0010-20-42594	ea	39.0000	0		Drop Ship Only	1	Diagnostic Instruments	29	Patient Monitoring/Vital Signs	256	Blood Pressure	N	N
AIM	10238183	89	10000446	Medtronic/Minimally Invasive Therapies Group	10020330	MEDTRONIC POLYSORB� COATED SYNTHETIC ABSORBABLE SUTURES	Composed of LACTOMER� glycolide/lactide copolymer which is a synthetic polyester composed of glycolide and lactide derived from glycolic and lactic acids. POLYSORB� sutures are prepared by coating the suture with a mixture of caprolactone/glycolide copolymer and calcium stearoyl lactylate. The advanced extrusion process of the molecule of LACTOMER� 9-1, the exclusive braiding process and coating system give the suture: Excellent strength over the critical wound healing period; Excellent knot security; Excellent handling; Predictable absorption profile. POLYSORB� sutures are indicated for use in soft tissue approximation or ligation and ophthalmic surgery, but not in cardiovascular or neural tissue.	SL5620	Suture, Premium Reverse Cutting, Size 5-0, Undyed, 30", Needle P-11, 3/8 Circle, 3 dz/bx (Continental US Only)			USS SL5620	bx	405.3300	0		14-21 Days	21	Surgery/Minor Procedure	188	Skin Closure	918	Sutures	N	N
AIM	10247007	580	10000711	Fabrication Enterprises, Inc.	10028670	FABRICATION CHIROPRACTIC MEASURING PRODUCTS		12-3505	Baseline Volumetric Measuring Device, Partial Leg Set, 6" x 13" x 24"  (060154)	i80543.jpg	https://secure.ndc-inc.com/AIMImage/i80543.jpg	FAB 12-3505	ea	185.1600	0	Call for pricing	Mfr. Direct	12	Orthopedic & Physical Therapy	114	Physical Therapy 	734	Equipment	N	N
AIM	10343614	986	10001181	Avanos Medical, Inc.	10038334	AVANOS CORFLO ULTRA NG FEEDING TUBE		20-9431	CORFLO� ULTRA LITE NG Feeding Tube, Stylet, 10 FR, 109cm Length, 10/cs			AVM 20-9431	cs	261.6300	0		14-21 Days	4	Extended Care/Home Health	42	Enterals/Nutrition	469	Ng/Feeding Tubes	N	N
AIM	10317919	126	10000058	Dynarex Corporation	10005891	DYNAREX FACE MASKS		2209	Full Length Face Shield, 40/cs (Products cannot be sold on Amazon.com or any other 3rd party site)				cs	36.0000	0		Mfr. Direct	15	Protective Apparel 	132	Apparel	753	Masks	N	N
AIM	10143079	876	10001057	Kimberly-Clark Professional	10017204	KIMBERLY-CLARK FACIAL TISSUE	Offered in a variety of sizes and dispensing options.	21400	Kleenex� Tissue, White, 100/pkg, 36 pkg/cs (42 cs/plt) (Item on Manufacturer Backorder - Inventory Limited when Available)	i11194.jpg	https://secure.ndc-inc.com/AIMImage/i11194.jpg	KCP 21400	cs	53.9100	0		Stock Item	5	Housekeeping And Janitorial Products	49	Paper Products	517	Facial Tissue	N	N
AIM	10241815	530	10000685	Cytiva	10028326	CYTIVA MEMBRANE FILTER PAPERS	Offers accurately controlled pore size distribution and higher strength and flexibility, which ensure reproducibility and consistency. Filter range includes pore size from 0.915 to 12 �m with a wide selection of membrane filters. Sterile and autoclave packs are available for specialized applications. Colored and gridded types are also available.	231100	Accessories: 47mm Drain Discs, Polyester, 100/pk	v20737.jpg	https://secure.ndc-inc.com/AIMImage/iv20737.jpg	GBS 231100	pk	79.6500	0		14-21 Days	9	Lab Equipment & Accessories	1059	Filter Papers & Membranes	1031	Membrane Filters	N	N
AIM	10289477	563	10000701	BSN Medical/Jobst	10033525	BSN MEDICAL JOBST� ULTRASHEER COMPRESSION STOCKINGS	Seamless circular knitted for a soft, silky look and comfortable feel. Reciprocated heel and toe for better fit and durability. Maternity styles provide a little "extra" for the mother-to-be. Assorted colors. Available in knee high, thigh high and pantyhose styles.	119139	Compression Stocking, Waist High, 20-30 mmHG, Closed Toe, Sun Bronze, X-Large			BSN 119139	pr	76.7900	0		14-21 Days	12	Orthopedic & Physical Therapy	115	Soft Goods	742	Compression	N	N
